Date,Volume
6/20/2016 16:00:00,35607946
6/21/2016 16:00:00,34097825
6/22/2016 16:00:00,28816848
6/23/2016 16:00:00,29028833
6/24/2016 16:00:00,133502985
6/27/2016 16:00:00,50576699
6/28/2016 16:00:00,38140658
6/29/2016 16:00:00,31304021
6/30/2016 16:00:00,28527781
7/1/2016 16:00:00,21400392
7/5/2016 16:00:00,24806351
7/6/2016 16:00:00,28167461
7/7/2016 16:00:00,19585194
7/8/2016 16:00:00,28391026
7/11/2016 16:00:00,22269203
7/12/2016 16:00:00,27317555
7/13/2016 16:00:00,25356841
7/14/2016 16:00:00,24545520
7/15/2016 16:00:00,32024385
7/18/2016 16:00:00,31433864
7/19/2016 16:00:00,53336533
7/20/2016 16:00:00,89893301
7/21/2016 16:00:00,32776653
7/22/2016 16:00:00,32157167
7/25/2016 16:00:00,25610587
7/26/2016 16:00:00,28078995
7/27/2016 16:00:00,32327477
7/28/2016 16:00:00,37550411
7/29/2016 16:00:00,30558718
8/1/2016 16:00:00,26003419
8/2/2016 16:00:00,35121958
8/3/2016 16:00:00,22075616
8/4/2016 16:00:00,26587749
8/5/2016 16:00:00,29335221
8/8/2016 16:00:00,19473499
8/9/2016 16:00:00,16920721
8/10/2016 16:00:00,15756913
8/11/2016 16:00:00,18162301
8/12/2016 16:00:00,21655161
8/15/2016 16:00:00,19283902
8/16/2016 16:00:00,20523493
8/17/2016 16:00:00,18856423
8/18/2016 16:00:00,14214341
8/19/2016 16:00:00,17271044
8/22/2016 16:00:00,15221922
8/23/2016 16:00:00,18732373
8/24/2016 16:00:00,18151506
8/25/2016 16:00:00,18552579
8/26/2016 16:00:00,20971202
8/29/2016 16:00:00,16417207
8/30/2016 16:00:00,16930185
8/31/2016 16:00:00,20860269
9/1/2016 16:00:00,26075363
9/2/2016 16:00:00,18900489
9/6/2016 16:00:00,16278416
9/7/2016 16:00:00,17493359
9/8/2016 16:00:00,20146083
9/9/2016 16:00:00,35113934
9/12/2016 16:00:00,29302962
9/13/2016 16:00:00,30130213
9/14/2016 16:00:00,24274273
9/15/2016 16:00:00,27062614
9/16/2016 16:00:00,44606965
9/19/2016 16:00:00,20937104
9/20/2016 16:00:00,17383982
9/21/2016 16:00:00,33707272
9/22/2016 16:00:00,19822203
9/23/2016 16:00:00,19955336
9/26/2016 16:00:00,21688720
9/27/2016 16:00:00,28065071
9/28/2016 16:00:00,20536400
9/29/2016 16:00:00,25463536
9/30/2016 16:00:00,29910788
10/3/2016 16:00:00,19189515
10/4/2016 16:00:00,20085874
10/5/2016 16:00:00,16726411
10/6/2016 16:00:00,16212611
10/7/2016 16:00:00,20089020
10/10/2016 16:00:00,18196509
10/11/2016 16:00:00,26497418
10/12/2016 16:00:00,22177464
10/13/2016 16:00:00,25313748
10/14/2016 16:00:00,27402451
10/17/2016 16:00:00,23830014
10/18/2016 16:00:00,19149538
10/19/2016 16:00:00,22878397
10/20/2016 16:00:00,49455612
10/21/2016 16:00:00,80032206
10/24/2016 16:00:00,54066978
10/25/2016 16:00:00,35137164
10/26/2016 16:00:00,29911608
10/27/2016 16:00:00,28479856
10/28/2016 16:00:00,33574684
10/31/2016 16:00:00,26434697
11/1/2016 16:00:00,24532986
11/2/2016 16:00:00,22147005
11/3/2016 16:00:00,21600427
11/4/2016 16:00:00,28697016
11/7/2016 16:00:00,31664798
11/8/2016 16:00:00,22935355
11/9/2016 16:00:00,49632479
11/10/2016 16:00:00,57822394
11/11/2016 16:00:00,38767843
11/14/2016 16:00:00,41328422
11/15/2016 16:00:00,35904126
11/16/2016 16:00:00,27332475
11/17/2016 16:00:00,32132728
11/18/2016 16:00:00,27686311
11/21/2016 16:00:00,19652595
11/22/2016 16:00:00,23206700
11/23/2016 16:00:00,21848913
11/25/2016 16:00:00,8409616
11/28/2016 16:00:00,20732619
11/29/2016 16:00:00,22366721
11/30/2016 16:00:00,34655435
12/1/2016 16:00:00,34542121
12/2/2016 16:00:00,25515665
12/5/2016 16:00:00,23552658
12/6/2016 16:00:00,19907035
12/7/2016 16:00:00,30808969
12/8/2016 16:00:00,21220753
12/9/2016 16:00:00,27349356
12/12/2016 16:00:00,20198081
12/13/2016 16:00:00,35718868
12/14/2016 16:00:00,30352654
12/15/2016 16:00:00,27669868
12/16/2016 16:00:00,42453083
